reviewerID,asin,overall,unixReviewTime
33,340,1,1300752000
118,535,1,1300752000
338,18,1,1300752000
427,578,1,1300752000
428,104,1,1300752000
740,535,1,1300752000
806,155,1,1300752000
807,59,1,1300752000
807,80,1,1300752000
832,63,1,1300752000
832,320,1,1300752000
862,535,1,1300752000
957,535,1,1300752000
1010,79,1,1300752000
1017,79,1,1300752000
1017,535,1,1300752000
1050,80,1,1300752000
1050,175,1,1300752000
1050,230,1,1300752000
1050,336,1,1300752000
1050,445,1,1300752000
1273,535,1,1300752000
1285,199,1,1300752000
1636,112,1,1300752000
1636,535,1,1300752000
1648,535,1,1300752000
1707,535,1,1300752000
1710,408,1,1300752000
1921,185,1,1300752000
1924,333,1,1300752000
1960,535,1,1300752000
1967,532,1,1300752000
1967,535,1,1300752000
1973,318,1,1300752000
2218,256,1,1300752000
2218,416,1,1300752000
2218,534,1,1300752000
2248,535,1,1300752000
2319,294,1,1300752000
2609,535,1,1300752000
2757,535,1,1300752000
2761,535,1,1300752000
2981,535,1,1300752000
2989,535,1,1300752000
3054,535,1,1300752000
3057,535,1,1300752000
3069,535,1,1300752000
3078,535,1,1300752000
3080,535,1,1300752000
3116,548,1,1300752000
18,2,1,1300838400
73,18,1,1300838400
145,11,1,1300838400
145,76,1,1300838400
305,18,1,1300838400
305,85,1,1300838400
305,99,1,1300838400
305,107,1,1300838400
305,122,1,1300838400
305,373,1,1300838400
305,550,1,1300838400
955,537,1,1300838400
966,535,1,1300838400
967,535,1,1300838400
1034,535,1,1300838400
1050,255,1,1300838400
1211,93,1,1300838400
1301,231,1,1300838400
1962,626,1,1300838400
2330,535,1,1300838400
2646,373,1,1300838400
3019,534,1,1300838400
3049,535,1,1300838400
3052,535,1,1300838400
14,2,1,1300924800
14,464,1,1300924800
61,45,1,1300924800
61,76,1,1300924800
61,160,1,1300924800
61,174,1,1300924800
61,199,1,1300924800
61,259,1,1300924800
61,318,1,1300924800
61,499,1,1300924800
61,545,1,1300924800
61,550,1,1300924800
61,552,1,1300924800
803,465,1,1300924800
806,318,1,1300924800
1273,196,1,1300924800
1884,408,1,1300924800
2326,300,1,1300924800
2326,532,1,1300924800
3019,537,1,1300924800
3041,535,1,1300924800
3083,535,1,1300924800
47,573,1,1301011200
61,5,1,1301011200
61,80,1,1301011200
61,175,1,1301011200
61,301,1,1301011200
61,410,1,1301011200
61,574,1,1301011200
61,615,1,1301011200
61,625,1,1301011200
232,17,1,1301011200
338,577,1,1301011200
364,577,1,1301011200
806,59,1,1301011200
957,577,1,1301011200
966,577,1,1301011200
1017,577,1,1301011200
1285,577,1,1301011200
1301,99,1,1301011200
1301,535,1,1301011200
1910,617,1,1301011200
2330,577,1,1301011200
3073,535,1,1301011200
3258,567,1,1301011200
3258,568,1,1301011200
50,342,1,1301097600
50,545,1,1301097600
50,550,1,1301097600
61,359,1,1301097600
61,447,1,1301097600
61,553,1,1301097600
65,6,1,1301097600
65,598,1,1301097600
145,299,1,1301097600
145,320,1,1301097600
145,373,1,1301097600
280,18,1,1301097600
338,99,1,1301097600
520,212,1,1301097600
738,535,1,1301097600
1297,99,1,1301097600
1862,535,1,1301097600
2732,535,1,1301097600
66,7,1,1301184000
66,18,1,1301184000
66,47,1,1301184000
66,69,1,1301184000
