reviewerID,asin,overall,unixReviewTime
206,16,1,1300752000
449,53,1,1300752000
449,266,1,1300752000
929,339,1,1300752000
1637,438,1,1300752000
206,80,1,1300838400
485,437,1,1300924800
28,469,1,1301011200
186,472,1,1301011200
379,42,1,1301011200
379,155,1,1301011200
379,287,1,1301011200
379,296,1,1301011200
691,86,1,1301097600
902,438,1,1301097600
902,465,1,1301097600
902,466,1,1301097600
1036,438,1,1301097600
87,359,1,1301184000
449,427,1,1301184000
449,429,1,1301184000
656,453,1,1301184000
22,451,1,1301270400
22,472,1,1301270400
1001,383,1,1301270400
485,135,1,1301356800
22,16,1,1301443200
22,59,1,1301443200
22,69,1,1301443200
22,440,1,1301443200
458,422,1,1301443200
485,59,1,1301443200
328,332,1,1301529600
22,410,1,1301616000
676,422,1,1301616000
48,447,1,1301702400
293,452,1,1301702400
458,438,1,1301702400
708,86,1,1301788800
1599,486,1,1301788800
313,410,1,1301875200
186,16,1,1301961600
186,59,1,1301961600
244,466,1,1301961600
520,261,1,1301961600
520,437,1,1301961600
929,126,1,1301961600
48,346,1,1302048000
328,325,1,1302048000
328,368,1,1302048000
328,438,1,1302048000
328,565,1,1302048000
676,410,1,1302048000
902,346,1,1302048000
1036,170,1,1302134400
379,382,1,1302220800
30,482,1,1302307200
48,482,1,1302307200
470,443,1,1302480000
22,422,1,1302566400
48,296,1,1302566400
470,296,1,1302566400
698,86,1,1302566400
1081,175,1,1302652800
1212,215,1,1302825600
48,234,1,1302912000
48,649,1,1302912000
186,155,1,1302912000
1053,155,1,1302912000
48,293,1,1302998400
85,170,1,1302998400
85,342,1,1302998400
85,386,1,1302998400
1854,489,1,1303084800
313,424,1,1303171200
470,424,1,1303171200
1001,410,1,1303171200
48,298,1,1303257600
458,298,1,1303257600
22,250,1,1303344000
22,298,1,1303344000
22,368,1,1303344000
22,380,1,1303344000
22,447,1,1303344000
22,486,1,1303344000
48,55,1,1303344000
452,55,1,1303344000
458,55,1,1303344000
460,55,1,1303344000
460,293,1,1303344000
460,374,1,1303344000
460,523,1,1303344000
467,55,1,1303344000
470,55,1,1303344000
612,382,1,1303344000
1001,298,1,1303344000
1001,377,1,1303344000
1001,443,1,1303344000
48,827,1,1303430400
460,827,1,1303430400
1418,827,1,1303430400
48,144,1,1303516800
145,55,1,1303516800
145,144,1,1303516800
145,170,1,1303516800
145,293,1,1303516800
145,346,1,1303516800
145,447,1,1303516800
145,448,1,1303516800
145,465,1,1303516800
145,532,1,1303516800
145,627,1,1303516800
438,49,1,1303516800
458,144,1,1303516800
460,144,1,1303516800
1036,144,1,1303516800
29,346,1,1303603200
470,144,1,1303603200
461,55,1,1303689600
