reviewerID,asin,overall,unixReviewTime
8,225,1,1300752000
442,354,1,1300752000
444,354,1,1300752000
244,68,1,1300838400
2,1,1,1300924800
2,305,1,1300924800
492,354,1,1300924800
12,227,1,1301097600
12,361,1,1301097600
12,365,1,1301097600
112,143,1,1301097600
437,354,1,1301097600
31,286,1,1301184000
6,364,1,1301270400
6,386,1,1301270400
8,103,1,1301270400
12,28,1,1301270400
12,35,1,1301270400
12,189,1,1301270400
12,308,1,1301270400
12,309,1,1301270400
12,322,1,1301270400
12,359,1,1301270400
12,375,1,1301270400
12,387,1,1301270400
12,391,1,1301270400
12,120,1,1301356800
12,142,1,1301356800
12,209,1,1301356800
12,263,1,1301356800
12,264,1,1301356800
86,354,1,1301356800
244,351,1,1301356800
376,261,1,1301356800
376,436,1,1301356800
6,13,1,1301443200
6,49,1,1301443200
6,57,1,1301443200
6,356,1,1301443200
12,21,1,1301443200
12,30,1,1301443200
12,75,1,1301443200
12,81,1,1301443200
12,97,1,1301443200
12,154,1,1301443200
12,259,1,1301443200
12,269,1,1301443200
12,270,1,1301443200
12,470,1,1301443200
12,472,1,1301443200
12,257,1,1301529600
12,378,1,1301529600
12,508,1,1301529600
376,173,1,1301529600
376,427,1,1301529600
376,428,1,1301529600
437,338,1,1301529600
6,329,1,1301616000
253,417,1,1301616000
2,268,1,1301702400
2,354,1,1301702400
2,360,1,1301702400
12,315,1,1301702400
19,360,1,1301702400
12,398,1,1301788800
12,504,1,1301788800
12,516,1,1301788800
12,522,1,1301788800
2,104,1,1301875200
2,120,1,1301875200
2,329,1,1301875200
11,338,1,1301875200
12,174,1,1301875200
12,524,1,1301875200
12,542,1,1301875200
2,412,1,1301961600
12,424,1,1301961600
12,551,1,1301961600
12,557,1,1301961600
215,294,1,1301961600
12,277,1,1302048000
12,415,1,1302048000
12,539,1,1302048000
12,556,1,1302048000
12,562,1,1302048000
19,277,1,1302048000
245,354,1,1302048000
11,137,1,1302134400
12,131,1,1302134400
12,324,1,1302134400
12,345,1,1302134400
12,451,1,1302134400
12,576,1,1302134400
215,137,1,1302134400
202,83,1,1302220800
202,319,1,1302220800
202,324,1,1302220800
12,394,1,1302307200
19,394,1,1302307200
244,394,1,1302393600
12,165,1,1302480000
12,396,1,1302480000
12,597,1,1302480000
112,304,1,1302480000
6,338,1,1302566400
12,32,1,1302566400
12,56,1,1302566400
12,84,1,1302566400
12,236,1,1302566400
12,272,1,1302566400
12,599,1,1302566400
19,236,1,1302566400
258,74,1,1302566400
12,129,1,1302652800
12,250,1,1302652800
112,21,1,1302652800
12,587,1,1302739200
379,177,1,1302825600
407,285,1,1302825600
19,192,1,1302912000
19,523,1,1302912000
112,80,1,1302912000
19,232,1,1302998400
26,74,1,1303084800
26,200,1,1303084800
26,232,1,1303084800
26,294,1,1303084800
12,340,1,1303171200
12,333,1,1303257600
12,537,1,1303257600
19,238,1,1303257600
499,356,1,1303257600
6,202,1,1303344000
6,238,1,1303344000
6,294,1,1303344000
6,302,1,1303344000
6,360,1,1303344000
6,398,1,1303344000
12,47,1,1303344000
19,47,1,1303344000
231,305,1,1303344000
12,376,1,1303430400
12,441,1,1303430400
12,621,1,1303430400
19,654,1,1303430400
12,116,1,1303516800
19,116,1,1303516800
65,47,1,1303516800
65,116,1,1303516800
65,137,1,1303516800
65,232,1,1303516800
65,277,1,1303516800
65,360,1,1303516800
65,361,1,1303516800
65,379,1,1303516800
65,438,1,1303516800
65,505,1,1303516800
14,277,1,1303603200
63,47,1,1303689600
494,354,1,1303689600
12,65,1,1303776000
244,276,1,1303776000
12,463,1,1303862400
12,625,1,1303862400
12,631,1,1303862400
12,686,1,1303862400
170,47,1,1303862400
202,75,1,1303862400
395,205,1,1303862400
527,631,1,1303862400
245,277,1,1303948800
245,338,1,1303948800
245,360,1,1303948800
19,304,1,1304121600
19,488,1,1304121600
189,47,1,1304121600
380,488,1,1304121600
