reviewerID,asin,overall,unixReviewTime
98,40,1,1060128000
55,17,1,1067385600
537,410,1,1093132800
155,182,1,1093219200
155,55,1,1093737600
1496,672,1,1102291200
915,954,1,1115856000
922,672,1,1121385600
1815,888,1,1123804800
107,44,1,1124755200
2004,1005,1,1128297600
1012,386,1,1128729600
2131,3674,1,1130025600
392,114,1,1133827200
1640,2701,1,1138665600
106,44,1,1140652800
136,49,1,1140998400
1553,4523,1,1141430400
79,26,1,1141948800
1446,827,1,1145318400
548,2717,1,1146441600
548,1482,1,1147046400
548,2718,1,1147737600
1482,665,1,1148256000
1045,400,1,1149638400
2994,2684,1,1149811200
1446,662,1,1149984000
1446,1231,1,1149984000
1446,4183,1,1149984000
977,2712,1,1151539200
1832,900,1,1153267200
1832,2771,1,1153699200
1209,521,1,1155081600
581,208,1,1156118400
1423,1469,1,1157932800
135,48,1,1158364800
687,1231,1,1159488000
125,47,1,1160352000
99,40,1,1160524800
2069,3559,1,1161907200
146,53,1,1162512000
1184,1165,1,1162684800
401,120,1,1162771200
1947,3085,1,1162857600
147,857,1,1163030400
3052,2850,1,1163376000
1712,1191,1,1163462400
1712,1208,1,1163462400
1712,2558,1,1163462400
150,1600,1,1163721600
150,1134,1,1163808000
150,782,1,1164067200
2211,3389,1,1165104000
1146,4928,1,1165536000
1146,3336,1,1166054400
3094,3010,1,1166140800
2807,2112,1,1166313600
592,669,1,1167523200
592,670,1,1167523200
513,284,1,1168300800
805,992,1,1168300800
1382,2268,1,1168300800
2732,1882,1,1168300800
554,2954,1,1168473600
507,983,1,1168560000
1553,686,1,1168905600
107,2813,1,1169251200
107,3442,1,1169251200
272,146,1,1169769600
78,26,1,1169856000
805,2784,1,1170115200
921,347,1,1170288000
2146,1146,1,1170288000
1146,481,1,1171065600
2043,1050,1,1171152000
150,3123,1,1171411200
170,58,1,1171670400
279,1159,1,1171670400
1441,2708,1,1172016000
528,2949,1,1172534400
132,48,1,1173571200
2670,1798,1,1173830400
1586,1063,1,1174608000
150,53,1,1174780800
1146,1577,1,1174780800
2807,2113,1,1175040000
2807,2827,1,1175040000
1146,2862,1,1175212800
148,569,1,1175644800
1451,653,1,1175731200
3011,3166,1,1175904000
670,1501,1,1176163200
675,636,1,1176163200
148,53,1,1176508800
1146,2548,1,1177977600
1295,888,1,1178928000
496,480,1,1179014400
2211,1217,1,1179014400
1863,1050,1,1179100800
1240,543,1,1179360000
2027,1037,1,1179446400
1649,1654,1,1179705600
1497,672,1,1180742400
1497,692,1,1180742400
1497,701,1,1180742400
1497,857,1,1180742400
608,300,1,1180828800
772,2531,1,1180828800
1497,1362,1,1180915200
1752,2718,1,1181088000
3061,3008,1,1181260800
