reviewerID,asin,overall,unixReviewTime
4367,112,1,949708800
1655,53,1,956188800
1655,59,1,956188800
858,155,1,956880000
1655,55,1,960508800
1655,154,1,960508800
1655,75,1,960595200
4275,64,1,960595200
520,159,1,961200000
520,169,1,961200000
2966,59,1,961286400
5137,151,1,963100800
2370,182,1,964483200
2911,155,1,965088000
1706,137,1,965692800
2370,170,1,966729600
3235,131,1,966988800
3235,52,1,967161600
833,138,1,969494400
1675,186,1,970531200
2370,173,1,970704000
1675,158,1,973641600
2599,150,1,975888000
2966,171,1,976406400
2966,187,1,976406400
2966,131,1,976752000
617,318,1,979084800
858,193,1,979257600
858,244,1,979257600
778,192,1,979689600
2370,243,1,980208000
1948,122,1,981072000
2370,285,1,983232000
2370,202,1,983318400
5384,216,1,983318400
858,327,1,983664000
153,33,1,983750400
153,36,1,983750400
153,78,1,983750400
153,146,1,983836800
2370,289,1,984096000
2370,63,1,984355200
300,149,1,985046400
4115,33,1,985046400
4115,36,1,985046400
4115,146,1,985046400
2370,113,1,985651200
2370,111,1,985824000
2370,55,1,986428800
3372,131,1,986601600
4115,205,1,987379200
2370,175,1,988588800
833,161,1,989020800
833,160,1,990921600
2370,349,1,991180800
2370,131,1,991785600
2966,323,1,992044800
2966,333,1,992044800
1948,74,1,992563200
2370,346,1,994291200
2387,245,1,995587200
2370,330,1,995846400
3597,288,1,996883200
3666,337,1,996883200
3702,102,1,998179200
2370,197,1,998870400
2370,152,1,998956800
2370,162,1,998956800
1736,240,1,999043200
2370,348,1,999561600
3372,229,1,1002844800
3372,343,1,1002844800
5384,217,1,1002844800
833,325,1,1003449600
5384,361,1,1003449600
2370,147,1,1003795200
2370,332,1,1003795200
1736,84,1,1004313600
833,322,1,1005436800
4190,111,1,1006041600
1837,159,1,1007164800
1837,287,1,1007164800
3803,185,1,1007510400
2370,101,1,1008201600
3620,412,1,1008547200
858,405,1,1008720000
4423,182,1,1009065600
4423,183,1,1009065600
3803,189,1,1010188800
2951,191,1,1010275200
941,335,1,1010793600
5020,404,1,1011312000
2966,349,1,1011744000
300,350,1,1012694400
1980,145,1,1012780800
833,352,1,1012867200
4998,372,1,1014076800
2837,146,1,1014422400
1655,142,1,1014595200
2518,103,1,1014681600
617,366,1,1015286400
858,451,1,1016323200
1655,340,1,1016323200
4989,351,1,1016668800
4989,455,1,1016668800
4998,401,1,1017100800
2370,458,1,1017360000
858,468,1,1017619200
1970,237,1,1017878400
1970,458,1,1017878400
4084,481,1,1018051200
5020,455,1,1018051200
2370,459,1,1019088000
1967,44,1,1020124800
169,340,1,1020470400
858,502,1,1021075200
2370,499,1,1021161600
858,476,1,1021334400
1736,358,1,1021334400
169,347,1,1023235200
2837,168,1,1023753600
1675,165,1,1024358400
3736,399,1,1024790400
1339,408,1,1025222400
4989,139,1,1025308800
858,610,1,1026000000
2610,601,1,1027641600
4168,341,1,1027814400
4989,184,1,1027814400
3372,410,1,1027900800
135,611,1,1029283200
858,403,1,1029283200
2370,498,1,1029542400
3390,602,1,1030233600
1637,454,1,1030924800
3390,660,1,1031011200
948,474,1,1031529600
5419,523,1,1031529600
2370,604,1,1031788800
2370,605,1,1031788800
3846,489,1,1032048000
2370,246,1,1032220800
858,460,1,1032480000
5020,396,1,1033084800
2370,455,1,1033171200
698,620,1,1033689600
698,324,1,1033862400
4084,510,1,1034035200
698,680,1,1034380800
1655,713,1,1034380800
1875,445,1,1034380800
858,159,1,1034726400
698,649,1,1035072000
4084,167,1,1035072000
858,254,1,1035849600
858,504,1,1035849600
698,763,1,1036713600
2610,363,1,1037059200
2610,708,1,1037059200
2999,92,1,1037232000
2999,211,1,1037232000
