reviewerID,asin,overall,unixReviewTime
98,182,1,943920000
98,270,1,943920000
98,541,1,944784000
1675,1141,1,946598400
98,133,1,952300800
98,265,1,952300800
98,217,1,956016000
1618,306,1,968889600
1618,400,1,968976000
98,294,1,970012800
98,342,1,970012800
98,815,1,970012800
98,781,1,970444800
3524,592,1,975110400
1349,112,1,977961600
1109,35,1,979603200
1045,873,1,980467200
3524,81,1,982368000
3524,937,1,982368000
1618,510,1,982800000
98,97,1,985651200
132,1054,1,988243200
527,79,1,991008000
3582,340,1,996537600
3524,28,1,997401600
98,95,1,998438400
98,813,1,999129600
3524,931,1,999993600
814,334,1,1001635200
2237,1130,1,1002585600
3582,827,1,1003363200
3582,125,1,1003968000
1349,77,1,1004572800
3582,33,1,1004572800
3582,556,1,1005696000
909,348,1,1006128000
909,1084,1,1006128000
1874,165,1,1007164800
2165,552,1,1007596800
3582,1163,1,1009324800
2237,87,1,1009497600
2650,162,1,1010275200
2583,66,1,1010793600
98,195,1,1014249600
1397,1166,1,1014422400
1385,1187,1,1015459200
3582,121,1,1016064000
2237,161,1,1016323200
1003,525,1,1024099200
132,710,1,1025568000
563,348,1,1025827200
35,1098,1,1028764800
3582,239,1,1030233600
79,400,1,1032220800
1182,923,1,1034553600
1182,924,1,1034553600
1182,1282,1,1034553600
1182,162,1,1034899200
1182,340,1,1034899200
1182,123,1,1035417600
1182,163,1,1035417600
1574,58,1,1036108800
3524,173,1,1036368000
3524,583,1,1036368000
3524,1080,1,1036368000
3524,1081,1,1036368000
1182,755,1,1039392000
1182,1217,1,1039392000
2399,92,1,1039478400
3582,1027,1,1039478400
3582,786,1,1039996800
3582,1165,1,1039996800
2884,58,1,1041552000
2884,59,1,1041552000
3582,1160,1,1041552000
1182,155,1,1042675200
1182,1281,1,1042675200
1295,927,1,1043193600
3582,277,1,1043193600
2112,134,1,1043366400
2112,46,1,1043712000
2112,931,1,1043712000
2112,1195,1,1043712000
3582,332,1,1044489600
2004,1281,1,1044576000
3582,1081,1,1044662400
3582,638,1,1045699200
3582,172,1,1046044800
3582,238,1,1046131200
1182,1204,1,1046736000
3582,739,1,1046822400
3582,1030,1,1046908800
3582,168,1,1047168000
3582,22,1,1047513600
3582,1031,1,1047513600
3582,347,1,1047600000
3582,291,1,1048291200
236,1034,1,1048377600
1397,1296,1,1048377600
3582,574,1,1050019200
3582,596,1,1050537600
563,1096,1,1052352000
98,1279,1,1052438400
3582,1185,1,1052438400
3582,778,1,1052611200
3582,1337,1,1052611200
3582,264,1,1052956800
3582,195,1,1053129600
3582,577,1,1053129600
3582,292,1,1053302400
3582,298,1,1053302400
3582,781,1,1053475200
3091,350,1,1053907200
2490,1361,1,1054080000
3582,1164,1,1054166400
3582,811,1,1054339200
98,131,1,1055203200
3582,150,1,1055376000
3582,738,1,1055462400
3582,252,1,1055894400
3582,1125,1,1055980800
3582,1141,1,1056153600
3582,44,1,1056326400
3582,796,1,1056326400
3582,1196,1,1056499200
3582,667,1,1056585600
3582,801,1,1056585600
3582,1197,1,1056585600
3582,553,1,1057104000
3585,813,1,1057536000
98,577,1,1059609600
98,1447,1,1059609600
98,132,1,1060128000
98,231,1,1060128000
98,350,1,1060128000
98,533,1,1060128000
98,582,1,1060128000
98,1324,1,1060128000
2114,541,1,1060128000
3582,263,1,1060128000
3582,240,1,1060732800
3500,1439,1,1061856000
3582,71,1,1062288000
3582,99,1,1062288000
3582,1335,1,1063152000
2237,1361,1,1063411200
3582,164,1,1063756800
3582,193,1,1063756800
3582,7505,1,1063843200
2583,557,1,1063929600
3582,21,1,1063929600
3582,828,1,1064275200
3582,1340,1,1064620800
3582,153,1,1064707200
3582,205,1,1064793600
3582,206,1,1064793600
3582,207,1,1064793600
3582,226,1,1064793600
3582,227,1,1064793600
3582,554,1,1064793600
3582,93,1,1064966400
3582,666,1,1065052800
3326,1280,1,1065744000
2988,567,1,1065916800
1446,1272,1,1066003200
1446,1064,1,1066348800
3326,1392,1,1066435200
3326,1459,1,1066694400
3326,937,1,1067904000
3582,381,1,1067904000
3582,251,1,1068854400
3582,587,1,1068854400
3582,218,1,1069545600
125,1260,1,1069718400
125,1447,1,1069804800
3582,145,1,1069804800
3582,909,1,1069804800
3524,1275,1,1070064000
3582,109,1,1070409600
2884,1644,1,1070928000
3582,182,1,1071273600
3582,293,1,1071273600
3582,1706,1,1071273600
3582,1091,1,1071964800
540,1502,1,1072742400
1780,1502,1,1073001600
3582,146,1,1073088000
3582,814,1,1073088000
3582,92,1,1073347200
3582,656,1,1073347200
107,540,1,1073952000
2004,1317,1,1073952000
3582,225,1,1073952000
3582,1124,1,1073952000
3582,1522,1,1073952000
2004,637,1,1074038400
3468,383,1,1074816000
3582,512,1,1074816000
3582,588,1,1074816000
3582,166,1,1074988800
3582,1142,1,1074988800
2004,1040,1,1075507200
3582,300,1,1075507200
3582,343,1,1075507200
3582,344,1,1075507200
3582,1078,1,1075507200
3582,741,1,1075593600
915,2011,1,1075766400
3582,1198,1,1076457600
2317,1031,1,1076976000
2317,1425,1,1076976000
2317,1631,1,1076976000
3582,184,1,1077494400
107,408,1,1077580800
2317,194,1,1077580800
2317,1630,1,1077580800
3582,1128,1,1077667200
563,1460,1,1077840000
1683,291,1,1078185600
3582,593,1,1078185600
3582,1265,1,1078185600
2317,265,1,1078272000
3582,183,1,1078963200
915,1725,1,1079049600
3582,1080,1,1079395200
1583,1264,1,1082246400
3582,161,1,1082505600
837,93,1,1082592000
3582,1284,1,1085702400
3468,479,1,1086566400
3582,103,1,1086825600
119,242,1,1086912000
116,1083,1,1087776000
1583,1203,1,1089504000
202,1199,1,1089849600
707,555,1,1090022400
3582,1938,1,1090713600
563,862,1,1091145600
2131,1327,1,1091404800
119,554,1,1091664000
3582,804,1,1091664000
3582,326,1,1092009600
1542,880,1,1092268800
3582,1423,1,1092787200
155,1451,1,1093219200
155,1847,1,1093219200
148,779,1,1093305600
2446,1210,1,1093305600
3582,289,1,1093305600
99,1113,1,1093737600
3582,327,1,1093996800
1983,1612,1,1094169600
3582,1651,1,1094256000
3582,1295,1,1094428800
3582,1843,1,1094428800
3582,1079,1,1094515200
3109,596,1,1094601600
3109,1447,1,1094688000
3109,1630,1,1095292800
106,1458,1,1095465600
3582,926,1,1095638400
3582,1952,1,1095638400
3109,1262,1,1096502400
3109,212,1,1096675200
3109,96,1,1096761600
3109,1028,1,1096761600
3109,1859,1,1096761600
3024,1040,1,1097020800
119,1173,1,1097366400
3582,1424,1,1097798400
219,1137,1,1098489600
297,329,1,1099180800
297,1204,1,1099180800
3109,1345,1,1099353600
3446,1332,1,1099353600
3109,2016,1,1100044800
2004,946,1,1102204800
2874,2263,1,1102291200
98,2575,1,1102896000
2004,927,1,1102896000
1620,1948,1,1103328000
3582,898,1,1103846400
98,2478,1,1104105600
1354,1165,1,1104278400
2196,1936,1,1104796800
3366,1861,1,1104969600
2196,1278,1,1105056000
2004,188,1,1105315200
2004,1447,1,1105315200
3582,1633,1,1105315200
3582,158,1,1105488000
2832,1314,1,1105747200
2832,1308,1,1105833600
119,113,1,1106179200
2247,1827,1,1106179200
3582,1316,1,1106179200
977,1938,1,1108598400
3109,1346,1,1108598400
2832,1080,1,1108771200
357,1174,1,1109030400
107,1822,1,1109635200
1334,300,1,1109635200
3109,113,1,1109808000
2832,187,1,1109980800
119,329,1,1110067200
1497,534,1,1110844800
1497,1176,1,1110844800
563,1502,1,1110931200
977,100,1,1111017600
1295,1967,1,1111017600
3202,256,1,1111881600
2196,642,1,1112745600
2004,291,1,1112918400
2832,1197,1,1113091200
3202,1199,1,1113436800
119,190,1,1113868800
2112,1498,1,1113955200
864,1286,1,1114732800
563,1572,1,1114992000
3109,505,1,1115164800
3109,683,1,1115164800
3109,1023,1,1115164800
2048,1963,1,1115596800
202,1283,1,1117411200
3109,2524,1,1118102400
401,1330,1,1119398400
3109,581,1,1119916800
3091,559,1,1120003200
2112,238,1,1120780800
3109,67,1,1121299200
3109,111,1,1121299200
3109,931,1,1121299200
125,1261,1,1121731200
535,2016,1,1121904000
3366,119,1,1121990400
2004,94,1,1122768000
2482,1611,1,1122854400
1398,1346,1,1122940800
2134,65,1,1123113600
1621,864,1,1123286400
39,54,1,1123804800
2650,1106,1,1124150400
2832,121,1,1124150400
2004,22,1,1124236800
2004,1633,1,1125014400
2004,266,1,1125187200
2004,1339,1,1125187200
778,2014,1,1125532800
1095,113,1,1126051200
1811,1278,1,1126051200
408,581,1,1126483200
79,398,1,1126915200
2004,668,1,1127001600
2594,125,1,1127001600
2004,87,1,1127088000
2004,714,1,1127088000
2237,2015,1,1127174400
2127,1914,1,1127606400
98,1236,1,1128038400
98,1792,1,1128038400
